year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",80.00,16.00,4.78,2.56,1.98,0.00,6.68,0.00,2.00,1071.00,165.00,326.00,62.00,0.00,518.00
2024,1,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,1,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",62.00,9.00,2.20,0.92,1.38,0.00,4.49,2.00,2.00,589.00,128.00,94.00,93.00,0.00,274.00
2024,1,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",74.00,15.00,6.24,0.00,2.66,0.00,6.10,1.00,0.00,1285.00,461.00,0.00,106.00,0.00,718.00
2024,1,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",101.00,23.00,3.27,1.29,9.70,0.00,8.75,5.00,0.00,1372.00,148.00,35.00,412.00,0.00,777.00
2024,1,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2511.00,621.00,120.86,28.26,158.02,0.00,313.87,68.00,12.00,62759.00,14782.00,4772.00,7585.00,0.00,35620.00
2024,1,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",20.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,84.00,0.00,0.00,0.00,0.00,84.00
2024,1,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",47.00,15.00,4.02,0.00,9.98,0.00,1.00,1.00,1.00,791.00,204.00,0.00,459.00,0.00,128.00
2024,1,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",48.00,9.00,3.33,0.00,4.87,0.00,0.80,0.00,0.00,391.00,70.00,0.00,192.00,0.00,129.00
2024,1,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",13.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,48.00,0.00,0.00
2024,1,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",53.00,12.00,0.92,0.40,3.84,0.00,6.83,3.00,0.00,741.00,99.00,17.00,187.00,0.00,438.00
2024,1,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",32.00,9.00,2.81,2.33,1.42,0.00,2.43,5.00,0.00,1306.00,199.00,754.00,77.00,0.00,276.00
2024,1,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",88.00,19.00,3.54,1.00,7.85,0.00,6.61,7.00,0.00,1802.00,876.00,81.00,479.00,0.00,366.00
2024,1,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",105.00,25.00,6.00,1.76,6.27,0.00,10.97,7.00,1.00,1638.00,399.00,60.00,290.00,0.00,889.00
2024,1,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",62.00,17.00,6.24,5.43,2.61,0.00,2.71,2.00,1.00,4278.00,346.00,3040.00,677.00,0.00,215.00
2024,1,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",81.00,15.00,1.85,0.00,6.93,0.00,6.22,5.00,0.00,1399.00,223.00,0.00,475.00,0.00,701.00
2024,1,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,1,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",83.00,25.00,11.53,1.94,6.43,0.00,5.10,4.00,0.00,2099.00,594.00,684.00,270.00,0.00,551.00
2024,1,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",129.00,33.00,10.32,2.00,7.66,0.00,13.03,5.00,1.00,3461.00,484.00,1346.00,450.00,0.00,1181.00
2024,1,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",142.00,27.00,10.15,1.00,9.82,0.00,6.04,23.00,0.00,2248.00,1053.00,16.00,557.00,0.00,622.00
2024,1,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",35.00,7.00,0.98,0.98,2.53,0.00,2.51,1.00,0.00,953.00,38.00,594.00,131.00,0.00,190.00
2024,1,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",82.00,21.00,8.32,1.00,3.73,0.00,7.95,2.00,0.00,1609.00,507.00,223.00,228.00,0.00,651.00
2024,1,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",128.00,28.00,7.62,1.92,4.44,0.00,14.02,3.00,1.00,1464.00,317.00,114.00,213.00,0.00,820.00
2024,1,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",151.00,32.00,11.67,1.38,4.74,0.00,14.21,8.00,0.00,2433.00,736.00,60.00,190.00,0.00,1447.00
2024,1,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",146.00,37.00,7.91,0.18,14.51,0.00,14.40,7.00,0.00,2858.00,579.00,36.00,853.00,0.00,1390.00
2024,1,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",16.00,3.00,0.23,1.90,0.87,0.00,0.00,0.00,0.00,151.00,9.00,110.00,32.00,0.00,0.00
2024,1,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",224.00,32.00,10.65,4.59,11.60,0.00,5.15,9.00,0.00,2574.00,921.00,407.00,500.00,0.00,746.00
2024,1,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",257.00,46.00,9.67,0.74,20.59,0.00,14.99,17.00,0.00,2778.00,718.00,30.00,825.00,0.00,1205.00
2024,1,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",18.00,1.00,0.47,0.00,0.53,0.00,0.00,0.00,0.00,30.00,14.00,0.00,16.00,0.00,0.00
2024,1,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: West Virginia International Yeager",13.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,37.00,0.00,0.00,0.00,0.00
2024,1,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",2.00,1.00,0.12,0.00,0.00,0.00,0.88,0.00,0.00,33.00,4.00,0.00,0.00,0.00,29.00
2024,1,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",523.00,129.00,27.00,6.33,30.57,0.00,65.10,13.00,0.00,10611.00,3312.00,583.00,1704.00,0.00,5012.00
2024,1,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",62.00,10.00,3.05,0.97,1.57,0.00,4.42,2.00,0.00,1567.00,341.00,675.00,71.00,0.00,480.00
2024,1,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",47.00,9.00,4.14,0.00,0.46,0.00,4.40,0.00,0.00,799.00,299.00,0.00,17.00,0.00,483.00
2024,1,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",156.00,35.00,11.07,0.00,14.08,0.00,9.85,8.00,0.00,2134.00,617.00,0.00,833.00,0.00,684.00
2024,1,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",62.00,18.00,9.80,1.00,0.85,0.00,6.35,0.00,0.00,2696.00,2074.00,283.00,45.00,0.00,294.00
2024,1,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",201.00,56.00,13.78,2.59,22.96,0.00,16.66,9.00,0.00,4941.00,1855.00,281.00,1024.00,0.00,1781.00
2024,1,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1201.00,260.00,36.97,13.92,66.01,0.00,143.10,33.00,3.00,19739.00,3943.00,1515.00,3530.00,0.00,10751.00
2024,1,9E,Endeavor Air Inc.,ECP,"Panama City, FL: Northwest Florida Beaches International",24.00,11.00,2.96,0.05,2.73,0.00,5.27,0.00,1.00,723.00,209.00,11.00,70.00,0.00,433.00
